Server Patch Management Report
Generated:,2026-03-09 15:22:16

Executive Summary
Total Servers Scanned,116
Servers Needing Updates,28
Total Updates Available,297
Servers Up to Date,88

Server Status Overview
Server Name,IP Address,OS Type,Patches,Status,Reboot Required
kernel.x86_64             5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
kernel-tools.x86_64       5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
libpng.x86_64             2:1.5.13-8.amzn2.0.7            amzn2-core
libxml2.x86_64            2.9.1-6.amzn2.5.24              amzn2-core
libxml2-python.x86_64     2.9.1-6.amzn2.5.24              amzn2-core
python.x86_64             2.7.18-1.amzn2.0.16             amzn2-core
python-devel.x86_64       2.7.18-1.amzn2.0.16             amzn2-core
python-libs.x86_64        2.7.18-1.amzn2.0.16             amzn2-core
python-pillow.x86_64      2.0.0-23.gitd1c6db8.amzn2.0.17  amzn2-core
python3.x86_64            3.7.16-1.amzn2.0.23             amzn2-core
python3-libs.x86_64       3.7.16-1.amzn2.0.23             amzn2-core

Server: Diageo_DEV_Lapine
Package/Update
ec2-hibinit-agent.noarch  1.0.10-2.amzn2                  amzn2-core
kernel.x86_64             5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
kernel-headers.x86_64     5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
kernel-tools.x86_64       5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
libpng.x86_64             2:1.5.13-8.amzn2.0.7            amzn2-core
libxml2.x86_64            2.9.1-6.amzn2.5.24              amzn2-core
libxml2-devel.x86_64      2.9.1-6.amzn2.5.24              amzn2-core
libxml2-python.x86_64     2.9.1-6.amzn2.5.24              amzn2-core
python.x86_64             2.7.18-1.amzn2.0.16             amzn2-core
python-devel.x86_64       2.7.18-1.amzn2.0.16             amzn2-core
python-libs.x86_64        2.7.18-1.amzn2.0.16             amzn2-core
python-pillow.x86_64      2.0.0-23.gitd1c6db8.amzn2.0.17  amzn2-core
python3.x86_64            3.7.16-1.amzn2.0.23             amzn2-core
python3-libs.x86_64       3.7.16-1.amzn2.0.23             amzn2-core

Server: DYB_PROD_Lapine
Package/Update
ec2-hibinit-agent.noarch  1.0.10-2.amzn2                  amzn2-core
kernel.x86_64             5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
kernel-headers.x86_64     5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
kernel-tools.x86_64       5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
libpng.x86_64             2:1.5.13-8.amzn2.0.7            amzn2-core
libxml2.x86_64            2.9.1-6.amzn2.5.24              amzn2-core
libxml2-devel.x86_64      2.9.1-6.amzn2.5.24              amzn2-core
libxml2-python.x86_64     2.9.1-6.amzn2.5.24              amzn2-core
python.x86_64             2.7.18-1.amzn2.0.16             amzn2-core
python-devel.x86_64       2.7.18-1.amzn2.0.16             amzn2-core
python-libs.x86_64        2.7.18-1.amzn2.0.16             amzn2-core
python-pillow.x86_64      2.0.0-23.gitd1c6db8.amzn2.0.17  amzn2-core
python3.x86_64            3.7.16-1.amzn2.0.23             amzn2-core
python3-libs.x86_64       3.7.16-1.amzn2.0.23             amzn2-core

Server: Ignitors_PROD_Lapine
Package/Update
MariaDB-server.x86_64           10.6.19-1.el7.centos                  mariadb
ec2-hibinit-agent.noarch        1.0.10-2.amzn2                        amzn2-core
libpng.x86_64                   2:1.5.13-8.amzn2.0.7                  amzn2-core
libxml2.x86_64                  2.9.1-6.amzn2.5.24                    amzn2-core
libxml2-python.x86_64           2.9.1-6.amzn2.5.24                    amzn2-core
python.x86_64                   2.7.18-1.amzn2.0.16                   amzn2-core
python-devel.x86_64             2.7.18-1.amzn2.0.16                   amzn2-core
python-libs.x86_64              2.7.18-1.amzn2.0.16                   amzn2-core
python-pillow.x86_64            2.0.0-23.gitd1c6db8.amzn2.0.17        amzn2-core
python3.x86_64                  3.7.16-1.amzn2.0.23                   amzn2-core
python3-libs.x86_64             3.7.16-1.amzn2.0.23                   amzn2-core

Server: LISP_PROD_Lapine
Package/Update
ec2-hibinit-agent.noarch  1.0.10-2.amzn2                  amzn2-core
kernel.x86_64             5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
kernel-headers.x86_64     5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
kernel-tools.x86_64       5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
libpng.x86_64             2:1.5.13-8.amzn2.0.7            amzn2-core
libxml2.x86_64            2.9.1-6.amzn2.5.24              amzn2-core
libxml2-devel.x86_64      2.9.1-6.amzn2.5.24              amzn2-core
libxml2-python.x86_64     2.9.1-6.amzn2.5.24              amzn2-core
python.x86_64             2.7.18-1.amzn2.0.16             amzn2-core
python-devel.x86_64       2.7.18-1.amzn2.0.16             amzn2-core
python-libs.x86_64        2.7.18-1.amzn2.0.16             amzn2-core
python-pillow.x86_64      2.0.0-23.gitd1c6db8.amzn2.0.17  amzn2-core
python3.x86_64            3.7.16-1.amzn2.0.23             amzn2-core
python3-libs.x86_64       3.7.16-1.amzn2.0.23             amzn2-core

Server: ECP_PROD_Effectus
Package/Update
libgl1-amber-dri/noble-updates 21.3.9-0ubuntu3~24.04.1 amd64 [upgradable from: 21.3.9-0ubuntu2]
linux-base/noble-updates 4.5ubuntu9+24.04.2 all [upgradable from: 4.5ubuntu9+24.04.1]
"php8.3/noble-updates,noble-security 8.3.6-0ubuntu0.24.04.6 all [upgradable from: 8.3.6-0ubuntu0.24.04.5]"
